
570;569;river_large;8221;-1;-1;3397;1126;Memnonia-Diospolis Magna/Luxor
618;613;river_large;8232;-1;-1;-1;-1;Urbim-Patigga
635;634;river_large;8241;-1;-1;-1;-1;Galim-Darou
640;641;river_large;8242;3674;390;3688;389;Epis-Meroe
3312;3314;river_large;8246;-1;-1;-1;-1;Petta*-Alwa
632;634;river_large;8248;-1;-1;-1;-1;Abale-Darou
3321;634;river_large;8248;3716;470;-1;-1;Rocat*-Darou
3321;7592;river_large;8248;-1;-1;-1;-1;Rocat*-Ganagaras*****??????
3321;7587;river_large;8249;3773;450;3771;431;Rocat*-Anak*
3322;7587;river_large;8249;-1;-1;-1;-1;Borassa-Anak*
3322;7588;river_large;8250;3847;392;3837;376;Borassa-Dmut
3323;7588;river_large;8250;-1;-1;3871;353;Durai*-Dmut
3323;7589;river_large;8251;3896;337;3887;325;Durai*-Abliata
3328;7589;river_large;8251;3930;312;-1;-1;Thana*-Abliata
1374;1372;river_large;8253;-1;-1;472;2082;Carmo-Segida
1371;1372;river_large;8253;-1;-1;-1;-1;Asigi-Segida
1377;1372;river_large;8253;490;2076;491;2086;Corduba-Segida
1377;1442;river_large;8253;-1;-1;501;2090;Corduba-Mariana
1377;1378;river_large;8253;511;2080;511;2092;Corduba-Epora
1386;1378;river_large;8253;522;2082;520;2092;ClaritasIulia-Epora
1387;1378;river_large;8254;528;2084;525;2094;Ituci-Epora
1387;1379;river_large;8254;535;2087;534;2099;Ituci-Sucia
1380;1379;river_large;8254;-1;-1;-1;-1;Isiturgis-Sucia
1380;1384;river_large;8254;-1;-1;-1;-1;Isiturgis-Baecula
1383;1384;river_large;8255;-1;-1;-1;-1;Iliturgis-Baecula
1383;1381;river_large;8255;-1;-1;-1;-1;Iliturgis-Castulo
1395;1381;river_large;8255;-1;-1;-1;-1;Tucci-Castulo
1395;1382;river_large;8256;-1;-1;-1;-1;Tucci-Vivatia
1287;1382;river_large;8256;-1;-1;-1;-1;Salaria-Vivatia
1422;1419;river_large;8257;-1;-1;-1;-1;AdMuratum-TurduliaSeptentrionalis
1422;1421;river_large;8258;-1;-1;-1;-1;AdMuratum-Luserium
1425;1424;river_large;8258;-1;-1;-1;-1;AdAtrumFlumen-Dipo
1423;1424;river_large;8259;-1;-1;-1;-1;Evandriana-Dipo
1423;1403;river_large;8259;409;2203;408;2188;Evandriana-Caspiana
1400;1403;river_large;8260;-1;-1;-1;-1;AugustaEmerita-Caspiana
1400;1436;river_large;8260;438;2197;443;2185;AugustaEmerita-Metellinum
1435;1436;river_large;8260;-1;-1;-1;-1;Lacipea-Metellinum
1454;1436;river_large;8261;-1;-1;-1;-1;CalvriaMeridionalis-Metellinum
1406;1454;river_large;8261;-1;-1;-1;-1;Artigi-CalvriaMeridionalis
1459;1454;river_large;8261;-1;-1;-1;-1;Messicia-CalvriaMeridionalis
1459;1461;river_large;8262;506;2202;500;2213;Messicia-Bocouriqua
1460;1461;river_large;8262;-1;-1;-1;-1;Metturicia-Bocouriqua
1311;1433;river_large;8263;-1;-1;-1;-1;Tongorigum-Tourmogon
1307;1433;river_large;8263;-1;-1;-1;-1;Caurium-Tourmogon
1306;1433;river_large;8263;-1;-1;-1;-1;Lama-Tourmogon
1306;1434;river_large;8263;-1;-1;-1;-1;Lama-Turgalium
1437;1434;river_large;8264;468;2270;458;2261;Augustobria-Turgalium
1437;340;river_large;8264;-1;-1;-1;-1;Augustobria-CalvriaSeptentrionalis
